projection_idx,attribute_idx,weight
0,14,-1
0,1781,-1
1,659,1
1,2347,-1
2,1622,1
3,886,1
3,1005,-1
3,2010,-1
4,1078,1
4,1500,-1
5,639,1
5,1040,1
5,1963,-1
5,2435,1
6,1806,-1
6,2117,1
7,1261,1
7,1384,-1
8,386,-1
8,1052,1
8,1971,1
9,1367,1
9,1981,-1
9,2126,1
9,2198,1
9,2509,1
10,655,1
10,1205,-1
10,1520,-1
11,485,1
11,1397,-1
11,2082,1
12,993,-1
12,1241,1
12,1734,-1
12,2102,-1
12,2185,1
13,1972,1
14,6,1
15,91,1
15,1265,-1
16,430,1
16,659,1
16,2293,-1
17,791,1
18,1665,-1
18,2402,-1
19,158,1
19,255,-1
20,107,-1
20,491,-1
20,951,1
20,1039,-1
20,1302,1
20,1304,1
20,1952,1
20,2264,1
21,188,1
21,996,-1
21,1683,1
21,1822,1
21,2370,-1
22,1953,-1
22,2248,1
23,1779,-1
23,1895,-1
23,2036,-1
23,2397,1
24,566,1
24,694,1
24,2226,-1
25,689,1
25,1729,1
26,706,1
26,2038,-1
27,2190,1
28,937,1
28,942,1
28,968,1
29,398,1
29,730,1
29,1099,-1
30,1242,1
31,1415,1
32,1641,1
33,96,1
34,1895,1
34,1938,1
34,2259,1
35,1813,1
36,208,1
36,458,1
36,1051,1
36,1967,1
36,2312,-1
37,1680,-1
37,2376,-1
38,1171,1
39,138,1
39,164,-1
40,28,1
40,780,1
40,1160,-1
40,1691,-1
41,1899,1
42,2239,1
43,436,-1
43,876,1
43,1251,-1
43,1753,1
44,1115,1
44,1146,1
45,711,1
45,2155,-1
46,451,-1
46,1005,-1
47,933,1
48,485,1
48,869,-1
48,2303,-1
49,232,1
49,235,1
49,332,1
49,825,1
49,1222,-1
50,1561,1
50,1917,1
50,2402,1
51,885,1
51,1637,1
52,696,-1
52,2272,1
52,2334,1
53,2274,1
54,1959,1
55,408,-1
55,1460,-1
56,69,1
56,586,1
56,1186,-1
56,2108,-1
57,442,1
58,1837,1
59,251,-1
59,1472,-1
59,1755,-1
59,2173,1
60,898,1
61,2313,1
62,1070,1
63,563,1
63,1155,-1
64,27,1
64,1348,-1
65,1712,1
66,1284,-1
66,2039,-1
66,2518,-1
67,1039,1
67,1119,-1
68,2168,1
69,260,-1
69,388,-1
69,1347,-1
69,2506,-1
70,1856,1
70,2225,-1
70,2308,-1
71,156,-1
71,431,1
71,672,1
71,1244,1
71,2076,-1
71,2481,-1
72,440,1
73,368,-1
73,2455,-1
74,2285,1
75,1267,-1
75,1600,1
75,1986,1
75,2233,1
76,784,1
77,179,1
78,1077,1
79,268,1
79,1248,1
79,1276,1
79,1390,-1
79,1464,1
79,1557,-1
79,1660,1
80,1188,1
81,272,1
81,2188,-1
81,2492,-1
